covariate,estimate,se,ci_low,ci_high,n_trimmed
colony,4.73702704462745,4.61017238928523,-4.29891083837159,13.7729649276265,1817
comlang,11.4698750696386,3.5321430009466,4.54687478778327,18.3928753514939,1817
comrelig,-26.7092027770698,11.7942806519754,-49.8259928549417,-3.59241269919799,1817
wto,-0.924923972276171,10.7903338073477,-22.0739782346776,20.2241302901252,1817
EIA,-0.153385820186306,2.08100037276416,-4.23214655080406,3.92537491043145,1817
InvestAgree,9.82564045984245,3.05420638804595,3.83939593927238,15.8118849804125,1817
MDBDummy,53.9777306614476,5.72064088305073,42.7652745306682,65.190186792227,1817
NDCActOnly,-3.5317267367337,7.1086992642209,-17.4647772946067,10.4013238211393,1817
NDCnonGHG,-2.44206765615547,10.0989016886518,-22.235914965913,17.351779653602,1817
NDC15,9.10757014424488,4.42961761554889,0.425519617769064,17.7896206707207,1817
NDC16,9.77393073348038,8.83613551357182,-7.54489487312038,27.0927563400812,1817
NDC17,16.8136453401801,8.05565364149049,1.02456420285877,32.6027264775015,1817
NDC18,11.7433132030512,13.485605366257,-14.6884733148125,38.175099720915,1817
RecipientWRIVul,-11.7760215556941,37.5592566200324,-85.3921645309577,61.8401214195694,1817
CPIAPublicAdm,-0.688838359370696,8.56924125605359,-17.4845512212357,16.1068745024943,1817
CPIAbudget,2.62176945651576,6.26043403053587,-9.64868124333454,14.8922201563661,1817
RecipientGDPtot,6.09595369483692,3.30193600499334,-0.375840874950033,12.5677482646239,1817
ProviderGDPtot,0.645861715169769,2.29945682475107,-3.86107366134234,5.15279709168187,1817
RecipientPop,-13.9750680027672,132.533995358999,-273.741698906405,245.79156290087,1817
ProviderPop,11.6256368387305,24.6146084733919,-36.6189957691176,59.8702694465786,1817
Recipientdebt,15.7424118587738,17.2423875558685,-18.0526677507284,49.5374914682761,1817
Providerdebt,12.4909938924188,4.09002847084177,4.47453808956893,20.5074496952687,1817
RecipientfisB,29.6352460318545,48.7863421555272,-65.9859845929788,125.256476656688,1817
ProviderfisB,176.287489519721,46.2474764201332,85.6424357362602,266.932543303182,1817
distw,6.02175100439692,4.08173529469612,-1.97845017320747,14.0219521820013,1817
